
Experiment: hidden_dim
Dataset	lr   	hidden units	activation	best epoch
linear 	0.07	          50	sigmoid   	      1417
linear 	0.07	          50	sigmoid   	     11893
linear 	0.07	          50	sigmoid   	      4620
linear 	0.07	          50	sigmoid   	       558
linear 	0.07	          50	sigmoid   	      1604
linear 	0.07	          50	sigmoid   	     34370
linear 	0.07	          50	sigmoid   	     99999
linear 	0.07	          50	sigmoid   	     99999
linear 	0.07	          60	sigmoid   	       950
linear 	0.07	          60	sigmoid   	      1609
linear 	0.07	          60	sigmoid   	      4986
linear 	0.07	          60	sigmoid   	       661
linear 	0.07	          60	sigmoid   	     23721
linear 	0.07	          60	sigmoid   	      3062
linear 	0.07	          60	sigmoid   	     70909
linear 	0.07	          60	sigmoid   	     99999
linear 	0.07	          60	sigmoid   	     26126
linear 	0.07	          60	sigmoid   	      5983
linear 	0.07	          70	sigmoid   	       671
linear 	0.07	          70	sigmoid   	      3973
linear 	0.07	          70	sigmoid   	     17286
linear 	0.07	          70	sigmoid   	     13048
linear 	0.07	          70	sigmoid   	       862
linear 	0.07	          70	sigmoid   	     87954
linear 	0.07	          70	sigmoid   	     99999
linear 	0.07	          70	sigmoid   	      7882
linear 	0.07	          70	sigmoid   	      5645
linear 	0.07	          70	sigmoid   	     27666
linear 	0.07	          80	sigmoid   	       906
linear 	0.07	          80	sigmoid   	     26088
linear 	0.07	          80	sigmoid   	      1000
linear 	0.07	          80	sigmoid   	      1641
linear 	0.07	          80	sigmoid   	      8010
linear 	0.07	          80	sigmoid   	      2315
linear 	0.07	          80	sigmoid   	       465
linear 	0.07	          80	sigmoid   	      4601
linear 	0.07	          80	sigmoid   	       214
linear 	0.07	          80	sigmoid   	     23435
linear 	0.07	          90	sigmoid   	     11265
linear 	0.07	          90	sigmoid   	      2463
linear 	0.07	          90	sigmoid   	     12501
linear 	0.07	          90	sigmoid   	     54793
linear 	0.07	          90	sigmoid   	       264
linear 	0.07	          90	sigmoid   	      2512
linear 	0.07	          90	sigmoid   	     48547
linear 	0.07	          90	sigmoid   	     68515
linear 	0.07	          90	sigmoid   	       605
linear 	0.07	          90	sigmoid   	      1601
linear 	0.07	         100	sigmoid   	       685
linear 	0.07	         100	sigmoid   	      7612
linear 	0.07	         100	sigmoid   	     26743
linear 	0.07	         100	sigmoid   	      4687
linear 	0.07	         100	sigmoid   	      2962
linear 	0.07	         100	sigmoid   	     14192
linear 	0.07	         100	sigmoid   	     75226
linear 	0.07	         100	sigmoid   	     10288
linear 	0.07	         100	sigmoid   	      1359
linear 	0.07	         100	sigmoid   	       368

Experiment: hidden_dim
Dataset	lr   	hidden units	activation	best epoch
linear 	0.1	          10	sigmoid   	      2406
linear 	0.1	          10	sigmoid   	      2470
linear 	0.1	          10	sigmoid   	      1350
linear 	0.1	          10	sigmoid   	       873
linear 	0.1	          10	sigmoid   	     41751
linear 	0.1	          10	sigmoid   	      2934
linear 	0.1	          10	sigmoid   	     25829
linear 	0.1	          10	sigmoid   	     73024
linear 	0.1	          10	sigmoid   	      8123
linear 	0.1	          10	sigmoid   	      4263
linear 	0.1	          20	sigmoid   	      1376
linear 	0.1	          20	sigmoid   	      1762
linear 	0.1	          20	sigmoid   	      6655
linear 	0.1	          20	sigmoid   	      1681
linear 	0.1	          20	sigmoid   	      1355
linear 	0.1	          20	sigmoid   	      1809
linear 	0.1	          20	sigmoid   	      1684
linear 	0.1	          20	sigmoid   	      1256
linear 	0.1	          20	sigmoid   	      5061
linear 	0.1	          20	sigmoid   	     14076
linear 	0.1	          30	sigmoid   	      1249
linear 	0.1	          30	sigmoid   	      4175
linear 	0.1	          30	sigmoid   	      3500
linear 	0.1	          30	sigmoid   	     25963
linear 	0.1	          30	sigmoid   	     16107
linear 	0.1	          30	sigmoid   	       434
linear 	0.1	          30	sigmoid   	         9
linear 	0.1	          30	sigmoid   	     33662
linear 	0.1	          30	sigmoid   	       346
linear 	0.1	          30	sigmoid   	       425
linear 	0.1	          40	sigmoid   	       391
linear 	0.1	          40	sigmoid   	      9721
linear 	0.1	          40	sigmoid   	      1472
linear 	0.1	          40	sigmoid   	       436
linear 	0.1	          40	sigmoid   	     37380
linear 	0.1	          40	sigmoid   	      5189
linear 	0.1	          40	sigmoid   	       336
linear 	0.1	          40	sigmoid   	     17137
linear 	0.1	          40	sigmoid   	      2593
linear 	0.1	          40	sigmoid   	     17545
linear 	0.1	          50	sigmoid   	       652
linear 	0.1	          50	sigmoid   	     35294
linear 	0.1	          50	sigmoid   	       992
linear 	0.1	          50	sigmoid   	      8325
linear 	0.1	          50	sigmoid   	      3235
linear 	0.1	          50	sigmoid   	       391
linear 	0.1	          50	sigmoid   	      1124
linear 	0.1	          50	sigmoid   	     24058
linear 	0.1	          50	sigmoid   	     97963
linear 	0.1	          50	sigmoid   	     99999
linear 	0.1	          60	sigmoid   	       665
linear 	0.1	          60	sigmoid   	      1127
linear 	0.1	          60	sigmoid   	      3491
linear 	0.1	          60	sigmoid   	       463
linear 	0.1	          60	sigmoid   	     16605
linear 	0.1	          60	sigmoid   	      2143
linear 	0.1	          60	sigmoid   	     49637
linear 	0.1	          60	sigmoid   	     88833
linear 	0.1	          60	sigmoid   	     18289
linear 	0.1	          60	sigmoid   	      4189
linear 	0.1	          70	sigmoid   	       470
linear 	0.1	          70	sigmoid   	      2782
linear 	0.1	          70	sigmoid   	     12101
linear 	0.1	          70	sigmoid   	      9134
linear 	0.1	          70	sigmoid   	       604
linear 	0.1	          70	sigmoid   	     61569
linear 	0.1	          70	sigmoid   	     99999
linear 	0.1	          70	sigmoid   	      5517
linear 	0.1	          70	sigmoid   	      3952
linear 	0.1	          70	sigmoid   	     19367
linear 	0.1	          80	sigmoid   	       634
linear 	0.1	          80	sigmoid   	     18263
linear 	0.1	          80	sigmoid   	       700
linear 	0.1	          80	sigmoid   	      1149
linear 	0.1	          80	sigmoid   	      5607
linear 	0.1	          80	sigmoid   	      1621
linear 	0.1	          80	sigmoid   	       326
linear 	0.1	          80	sigmoid   	      3222
linear 	0.1	          80	sigmoid   	       151
linear 	0.1	          80	sigmoid   	     16404
linear 	0.1	          90	sigmoid   	      7886
linear 	0.1	          90	sigmoid   	      1725
linear 	0.1	          90	sigmoid   	      8752
linear 	0.1	          90	sigmoid   	     38355
linear 	0.1	          90	sigmoid   	       185
linear 	0.1	          90	sigmoid   	      1759
linear 	0.1	          90	sigmoid   	     33983
linear 	0.1	          90	sigmoid   	     47962
linear 	0.1	          90	sigmoid   	       423
linear 	0.1	          90	sigmoid   	      1121
linear 	0.1	         100	sigmoid   	       479
linear 	0.1	         100	sigmoid   	      5329
linear 	0.1	         100	sigmoid   	     18720
linear 	0.1	         100	sigmoid   	      3282
linear 	0.1	         100	sigmoid   	      2074
linear 	0.1	         100	sigmoid   	      9936
linear 	0.1	         100	sigmoid   	     52659
linear 	0.1	         100	sigmoid   	      7202
linear 	0.1	         100	sigmoid   	       951
linear 	0.1	         100	sigmoid   	       257

Experiment: hidden_dim
Dataset	lr   	hidden units	activation	best epoch
xor    	0.1	          10	sigmoid   	     29354
xor    	0.1	          10	sigmoid   	     32004
xor    	0.1	          10	sigmoid   	      7987
xor    	0.1	          10	sigmoid   	      8858
xor    	0.1	          10	sigmoid   	      8267
xor    	0.1	          10	sigmoid   	     10026
xor    	0.1	          10	sigmoid   	      8431
xor    	0.1	          10	sigmoid   	     11269
xor    	0.1	          10	sigmoid   	     14129
xor    	0.1	          10	sigmoid   	      9028
xor    	0.1	          20	sigmoid   	      5536
xor    	0.1	          20	sigmoid   	      6082
xor    	0.1	          20	sigmoid   	      5445
xor    	0.1	          20	sigmoid   	      5702
xor    	0.1	          20	sigmoid   	      6810
xor    	0.1	          20	sigmoid   	      6370
xor    	0.1	          20	sigmoid   	      5696
xor    	0.1	          20	sigmoid   	      5227
xor    	0.1	          20	sigmoid   	      6427
xor    	0.1	          20	sigmoid   	     14078
xor    	0.1	          30	sigmoid   	      4011
xor    	0.1	          30	sigmoid   	      4327
xor    	0.1	          30	sigmoid   	      4166
xor    	0.1	          30	sigmoid   	      6158
xor    	0.1	          30	sigmoid   	      4975
