
Experiment: hidden_dim
Dataset	lr   	hidden units	activation	best epoch
linear 	0.1000	          50	none      	      3240	  1.0000
linear 	0.1000	          50	none      	      2825	  1.0000
linear 	0.1000	          50	none      	      2871	  1.0000
linear 	0.1000	          50	none      	      2699	  1.0000
linear 	0.1000	          50	none      	      3069	  1.0000
linear 	0.1000	          50	none      	      3365	  1.0000
linear 	0.1000	          50	none      	      3092	  1.0000
linear 	0.1000	          50	none      	      3107	  1.0000
linear 	0.1000	          50	none      	      2752	  1.0000
linear 	0.1000	          50	none      	      2883	  1.0000

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy
xor    	0.1000	          50	none      	     99999	  0.7143
xor    	0.1000	          50	none      	     99999	  0.5238
xor    	0.1000	          50	none      	     99999	  0.7619
xor    	0.1000	          50	none      	     99999	  0.5238
xor    	0.1000	          50	none      	     99999	  0.4762
xor    	0.1000	          50	none      	     99999	  0.4762
xor    	0.1000	          50	none      	     99999	  0.5238
xor    	0.1000	          50	none      	     99999	  0.5714
xor    	0.1000	          50	none      	     99999	  0.7619
xor    	0.1000	          50	none      	     99999	  0.4762

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy
linear 	0.1000	          50	none      	      3240	  1.0000
linear 	0.1000	          50	none      	      2825	  1.0000
linear 	0.1000	          50	none      	      2871	  1.0000
linear 	0.1000	          50	none      	      2699	  1.0000
linear 	0.1000	          50	none      	      3069	  1.0000
linear 	0.1000	          50	none      	      3365	  1.0000
linear 	0.1000	          50	none      	      3092	  1.0000
linear 	0.1000	          50	none      	      3107	  1.0000
linear 	0.1000	          50	none      	      2752	  1.0000
linear 	0.1000	          50	none      	      2883	  1.0000

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy
xor    	0.1000	          50	none      	     99999	  0.7143
xor    	0.1000	          50	none      	     99999	  0.5238

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy
linear 	0.1000	          50	relu      	        96	  1.0000
linear 	0.1000	          50	relu      	        90	  1.0000
linear 	0.1000	          50	relu      	       375	  1.0000
linear 	0.1000	          50	relu      	       162	  1.0000
linear 	0.1000	          50	relu      	     99999	  0.4200
linear 	0.1000	          50	relu      	       417	  1.0000
linear 	0.1000	          50	relu      	       713	  1.0000
linear 	0.1000	          50	relu      	     99999	  0.4200
linear 	0.1000	          50	relu      	       184	  1.0000
linear 	0.1000	          50	relu      	       496	  1.0000

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy
xor    	0.1000	          50	relu      	       489	  1.0000
xor    	0.1000	          50	relu      	       264	  1.0000
xor    	0.1000	          50	relu      	     99999	  0.5238
xor    	0.1000	          50	relu      	     99999	  0.5238
xor    	0.1000	          50	relu      	       222	  1.0000
xor    	0.1000	          50	relu      	       318	  1.0000
xor    	0.1000	          50	relu      	     99999	  0.5238
xor    	0.1000	          50	relu      	       255	  1.0000
xor    	0.1000	          50	relu      	     99999	  0.5238
xor    	0.1000	          50	relu      	     99999	  0.5238

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy
xor    	0.1000	          50	relu      	       653	  1.0000
xor    	0.1000	          50	relu      	       227	  1.0000
xor    	0.1000	          50	relu      	     99999	  0.5238
xor    	0.1000	          50	relu      	       211	  1.0000
xor    	0.1000	          50	relu      	     99999	  0.5238
xor    	0.1000	          50	relu      	     99999	  0.5238
xor    	0.1000	          50	relu      	       764	  1.0000
xor    	0.1000	          50	relu      	       556	  1.0000
xor    	0.1000	          50	relu      	       455	  1.0000
xor    	0.1000	          50	relu      	       448	  1.0000
