episode	mean	max
307	1185.54	12316
308	1188.67	12316
309	1200.94	12316
310	1209.39	12316
311	1215.8	12316
312	1219.25	12316
313	1222.23	12316
314	1227.88	12316
315	1229.58	12316
316	1235.21	12316
317	1238.56	12316
318	1245.16	12316
319	1252.25	12316
320	1257.8	12316
321	1262.02	12316
322	1270.7	12316
323	1275.7	12316
324	1280	12316
325	1284.36	12316
326	1290.32	12316
327	1293.97	12316
328	1301.42	12316
329	1304.48	12316
330	1308.11	12316
331	1311.08	12316
332	1312.42	12316
333	1324.64	12316
334	1333.52	12316
335	1342.42	12316
336	1345.81	12316
337	1349.31	12316
338	1355.74	12316
339	1361.85	12316
340	1365.29	12316
341	1371.11	12316
342	1376.42	12316
343	1383.15	12316
344	1395.78	12636
345	1402.54	12636
346	1409.74	12636
347	1416.02	12636
348	1420.92	12636
349	1425.16	12636
350	1431.59	12636
351	1435.03	12636
352	1440.71	12636
353	1445.66	12636
354	1453.2	12636
355	1456.41	12636
356	1459.56	12636
357	1463.72	12636
358	1474.62	12636
359	1478.2	12636
360	1481.36	12636
361	1488.65	12636
362	1493.36	12636
363	1500.59	12636
364	1503.92	12636
365	1509.35	12636
366	1512.72	12636
367	1518.22	12636
368	1521.41	12636
369	1527.93	12636
370	1532.67	12636
371	1539.98	12636
372	1543.86	12636
373	1550.69	12636
374	1554.43	12636
375	1559.7	12636
376	1566.82	12636
377	1577.26	12636
378	1583.55	12636
379	1587.8	12636
380	1596.83	12636
381	1599.4	12636
382	1603.32	12636
383	1607.1	12636
384	1609.56	12636
385	1615.14	12636
386	1626.25	12636
387	1629.81	12636
388	1632.22	12636
389	1635.79	12636
390	1641.52	12636
391	1648.72	12636
392	1650.55	12636
393	1654.5	12636
394	1657.62	12636
395	1662.02	12636
396	1665.72	12636
397	1673.08	12636
398	1678.29	12636
399	1680.9	12636
400	1688.39	12636
401	1694.74	12636
402	1701.12	12636
403	1704.93	12636
404	1708.81	12636
405	1712.31	12636
406	1719.34	12636
407	1724.93	12636
408	1730.41	12636
409	1737.99	12636
410	1745.49	12636
411	1751.9	12636
412	1764.68	12784
413	1772.91	12784
414	1777	12784
415	1779.62	12784
416	1781.4	12784
417	1784.12	12784
418	1789.36	12784
419	1790.87	12784
420	1798.28	12784
421	1805.45	12784
422	1811.94	12784
423	1816.27	12784
424	1823.04	12784
425	1829.22	12784
426	1837.68	12784
427	1843.33	12784
428	1846.69	12784
429	1850.01	12784
430	1853.53	12784
431	1869.13	15604
432	1872.28	15604
433	1880.12	15604
434	1884.23	15604
435	1889.91	15604
436	1897.97	15604
437	1907.94	15604
438	1912.06	15604
439	1920.44	15604
440	1928.96	15604
441	1930.96	15604
442	1935.22	15604
443	1938.61	15604
444	1949.15	15604
445	1953.08	15604
446	1958.75	15604
447	1964.74	15604
448	1973.57	15604
449	1979.98	15604
450	1986.57	15604
451	1989.83	15604
452	1996.67	15604
453	2000.56	15604
454	2004.29	15604
455	2008.77	15604
456	2013.02	15604
457	2019.2	15604
458	2028.24	15604
459	2034.6	15604
460	2042.51	15604
461	2048.86	15604
462	2056.54	15604
463	2058.83	15604
464	2065.13	15604
465	2069.25	15604
466	2078.13	15604
467	2083.48	15604
468	2086.17	15604
469	2086.8	15604
470	2090.74	15604
471	2097.65	15604
472	2104.31	15604
473	2108.11	15604
474	2113.73	15604
475	2117.16	15604
476	2122.56	15604
477	2126.56	15604
478	2137.94	15604
479	2144.74	15604
480	2151.32	15604
481	2159.46	15604
482	2162.33	15604
483	2165.45	15604
484	2171.58	15604
485	2175.38	15604
486	2184.51	15604
487	2189.07	15604
488	2193.27	15604
489	2199.27	15604
490	2205.2	15604
491	2207.68	15604
492	2221	15604
493	2228.17	15604
494	2229.95	15604
495	2232.91	15604
496	2240.21	15604
497	2246.9	15604
498	2255.05	15604
499	2261.78	15604
500	2268.88	15604
501	2271.66	15604
502	2279.36	15604
503	2284.62	15604
504	2290.9	15604
505	2297.39	15604
506	2304.2	15604
507	2308.05	15604
508	2316.56	15604
509	2321.78	15604
510	2328.96	15604
511	2330.27	15604
512	2336.71	15604
513	2344.75	15604
514	2351.7	15604
515	2358.87	15604
516	2364.49	15604
517	2372.19	15604
518	2380.06	15604
519	2384	15604
520	2392.81	15604
521	2401.62	15604
522	2406.46	15604
523	2407.81	15604
524	2416.78	15604
525	2421.9	15604
526	2427.65	15604
527	2434.68	15604
528	2439.93	15604
529	2443.13	15604
530	2450.36	15604
531	2459.29	15604
532	2468.52	15604
533	2473.28	15604
534	2476.4	15604
535	2484.36	15604
536	2490.63	15604
537	2493.66	15604
538	2500.13	15604
539	2505.46	15604
540	2509.37	15604
541	2525.5	16128
542	2529.61	16128
543	2537.08	16128
544	2543.62	16128
545	2546.71	16128
546	2554.08	16128
547	2557.64	16128
548	2559.11	16128
549	2566.47	16128
550	2570	16128
551	2573.79	16128
552	2589.48	16128
553	2601.7	16128
554	2616.07	16128
555	2629.21	16128
556	2634	16128
557	2647.09	16128
558	2651.31	16128
559	2653.17	16128
560	2660.53	16128
561	2667.65	16128
562	2674.72	16128
563	2680.44	16128
564	2686.71	16128
565	2692.27	16128
566	2700.43	16128
567	2704.03	16128
568	2708.22	16128
569	2711.72	16128
570	2715.88	16128
571	2722.19	16128
572	2729.19	16128
573	2735.9	16128
574	2743.27	16128
575	2750.73	16128
576	2757.33	16128
577	2762.87	16128
578	2771.17	16128
579	2778.26	16128
580	2789.24	16128
581	2797.53	16128
582	2801.58	16128
583	2807.64	16128
